timestamp,treble_chorale,bruin_singers,bel_canto
2026-05-07T05:34:33Z,19406,7946,20478
2026-05-07T05:35:03Z,19424,7946,20490
2026-05-07T05:35:34Z,19426,7946,20504
2026-05-07T05:36:04Z,19453,7946,20517
2026-05-07T05:36:34Z,19454,7946,20521
2026-05-07T05:37:04Z,19471,7946,20530
2026-05-07T05:37:35Z,19497,7946,20541
2026-05-07T05:38:05Z,19512,7946,20554
2026-05-07T05:38:35Z,19539,7946,20568
2026-05-07T05:39:06Z,19540,7946,20570
2026-05-07T05:39:36Z,19555,7946,20585
2026-05-07T05:40:06Z,19555,7946,20599
2026-05-07T05:40:37Z,19578,7946,20611
2026-05-07T05:41:07Z,19579,7946,20614
2026-05-07T05:41:37Z,19591,7946,20625
2026-05-07T05:42:08Z,19605,7946,20636
2026-05-07T05:42:38Z,19630,7946,20648
2026-05-07T05:43:08Z,19643,7946,20653
2026-05-07T05:43:38Z,19649,7946,20663
2026-05-07T05:44:09Z,19654,7946,20668
2026-05-07T05:44:39Z,19667,7946,20675
2026-05-07T05:45:09Z,19679,7946,20687
2026-05-07T05:45:40Z,19692,7946,20700
2026-05-07T05:46:10Z,19705,7946,20707
2026-05-07T05:46:40Z,19721,7946,20715
2026-05-07T05:47:10Z,19739,7946,20729
2026-05-07T05:47:41Z,19766,7946,20743
2026-05-07T05:48:11Z,19776,7946,20746
2026-05-07T05:48:41Z,19778,7946,20751
2026-05-07T05:49:12Z,19792,7946,20764
2026-05-07T05:49:42Z,19808,7946,20778
2026-05-07T05:50:12Z,19832,7946,20790
2026-05-07T05:50:42Z,19833,7946,20800
2026-05-07T05:51:13Z,19847,7946,20807
2026-05-07T05:51:43Z,19848,7946,20819
2026-05-07T05:52:13Z,19864,7946,20832
2026-05-07T05:52:44Z,19879,7946,20841
2026-05-07T05:53:14Z,19895,7946,20857
2026-05-07T05:53:44Z,19895,7946,20871
2026-05-07T05:54:15Z,19909,7946,20878
2026-05-07T05:54:45Z,19920,7946,20892
2026-05-07T05:55:15Z,19922,7946,20904
2026-05-07T05:55:46Z,19936,7946,20913
2026-05-07T05:56:16Z,19946,7946,20923
2026-05-07T05:56:46Z,19949,7946,20931
2026-05-07T05:57:16Z,19964,7946,20942
2026-05-07T05:57:47Z,19994,7946,20955
2026-05-07T05:58:17Z,20009,7946,20967
2026-05-07T05:58:47Z,20009,7946,20972
2026-05-07T05:59:18Z,20023,7946,20980
2026-05-07T05:59:48Z,20032,7946,20982
2026-05-07T06:00:18Z,20032,7946,20986
2026-05-07T06:00:49Z,20044,7946,21002
2026-05-07T06:01:19Z,20070,7946,21014
2026-05-07T06:01:49Z,20084,7946,21027
